gene,260Sch-1_S13,260Sch-2_S14,260Sch-3_S15,820LT-1_S1,820LT-2_S2,820LT-3_S3,820Sch-1_S10,820Sch-2_S11,820Sch-3_S12,G260-1_S4,G260-2_S5,G260-3_S6,G260sch-1-23468787,G260sch-2-23468788,G260sch-3-23468793
PBANKA_0936700,3052,2719,2696,1721,795,1964,6505,6423,5259,1557,1820,1645,12302,7937,7788
PBANKA_0936800,425,351,356,308,142,266,1075,1992,1723,223,273,238,287,242,306
PBANKA_0936900,12190,10591,10777,6445,3108,8349,11046,11627,9472,5832,6858,5954,6012,4707,7344
PBANKA_0937000,1958,1924,1974,2522,1447,3517,1865,1777,1381,2443,2584,2268,1050,716,1181
PBANKA_0937100,7158,6408,6777,1946,691,1799,8007,8679,5834,1258,1580,1341,3168,2676,3322
PBANKA_0937200,35422,30251,29567,32451,14785,36954,38628,42018,34018,36045,44898,36039,33605,17856,19030
PBANKA_0937300,2673,2523,2479,2040,1052,2466,3088,3478,2761,1480,1941,1890,3306,1904,2568
PBANKA_0937400,13341,11276,11558,8245,4017,10114,10404,10327,8492,8141,10023,8236,9863,6389,8443
PBANKA_0937500,13023,13482,13015,2879,1498,2457,18009,18627,12996,1968,2145,1991,8306,6818,8822
PBANKA_0937600,603,487,400,801,446,1161,266,261,205,691,773,705,159,150,138
PBANKA_0937700,16253,14942,15274,19124,13316,29166,17617,19110,14972,24916,27809,25167,9486,5488,8208
PBANKA_0937750,1,0,3,0,2,1,2,2,4,1,1,1,0,0,0
PBANKA_0937800,5156,4271,4311,4950,2330,4926,14152,18116,12957,4069,4957,4555,6231,3584,2620
PBANKA_0937840,44,18,21,36,12,17,81,123,78,33,32,24,19,8,1
PBANKA_0937860,15,18,20,22,3,12,76,101,61,17,8,14,5,5,5
PBANKA_0937880,8,11,6,10,4,6,42,54,25,7,4,7,8,3,18
PBANKA_0937900,1065,1366,1318,199,124,112,5395,5144,3305,88,117,111,3449,3129,2971
PBANKA_0938000,1502,1149,1172,4957,2992,1594,15146,16477,10851,894,904,935,1719,1294,1521
PBANKA_0938050,14,27,25,3,9,5,30,40,27,27,40,25,13,9,17
PBANKA_0938100,231,224,253,954,440,950,193,280,178,879,988,940,96,65,41
PBANKA_0938200,144,99,122,80,36,20,295,321,134,6,4,8,39,26,44
PBANKA_0938300,21096,17679,19058,14304,6155,15828,17050,15275,11251,9525,10399,9418,7768,6099,10151
PBANKA_0938400,81684,64507,68322,59072,25719,66377,52411,50100,37871,38186,40238,35769,16886,17461,24714
PBANKA_0938500,11156,10055,10158,5174,2680,6279,10609,10211,8161,3711,4492,3742,5655,4655,7359
PBANKA_0938600,8333,6647,6454,12317,5703,14798,4572,4656,3980,11760,14735,11605,1652,1614,2004
PBANKA_0938700,1021,779,716,1470,670,1931,676,739,449,1345,1561,1212,954,479,751
PBANKA_0938800,2701,3618,2612,364,245,45,11090,11499,8234,62,96,63,12099,7525,10377
PBANKA_0938900,5633,5407,4845,3811,1779,4599,8825,9556,7450,3476,4155,3616,12526,6643,10282
PBANKA_0939000,1942,1922,1641,2021,1204,668,10263,12198,8849,584,722,557,3259,1953,2259
PBANKA_0939100,33286,37389,31627,14080,6520,15766,116570,131992,95713,15552,19732,15733,156642,115828,158567
PBANKA_0939200,2031,1601,1674,3584,1313,2895,5360,6238,4021,2835,3385,3323,3757,1920,1215
PBANKA_0939300,379,268,314,334,102,332,513,930,599,251,244,289,113,95,129
PBANKA_0939400,2077,1900,1831,1575,1111,2360,1816,1702,1387,1865,2739,2049,853,734,1080
PBANKA_0939500,13866,12520,12617,3996,2240,4154,14202,13782,10496,1094,1130,964,5826,5567,8947
PBANKA_0939600,97934,78385,84875,58274,22509,60035,95112,105674,79670,53658,66823,54066,55746,43322,48257
PBANKA_0939700,4566,3762,3895,3220,1454,3877,2944,2799,2379,2739,3950,2789,1222,1104,1676
PBANKA_0939800,4432,3777,3917,3412,1509,3849,2838,2624,2009,2641,3120,2631,1213,1101,1512
PBANKA_0939900,5491,4783,4880,3587,2256,5158,3110,3111,2346,4125,4859,4185,1593,1360,2156
PBANKA_0940000,368,327,410,109,80,94,799,655,579,127,146,84,198,154,236
