gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PBANKA_0940900,9276.10306135006,-1.420192680923136,0.12206209890176055,-11.635001312456147,2.735859265211347e-31,1.3244338456046653e-30
PBANKA_0941500,36376.58949183253,-1.1050712102537559,0.13172408836748595,-8.38928721351869,4.8909847162855535e-17,1.4284340153238057e-16
PBANKA_0942100,3362.5636490004927,-2.290827136536973,0.13072589031152881,-17.523897761015615,9.41484639384771e-69,1.187470577027949e-67
PBANKA_0942200,4930.376675738143,-2.7381410212251795,0.16983847588843612,-16.12203010479095,1.7864296276542497e-58,1.7747040277816155e-57
PBANKA_0942500,22357.307939702183,-1.0993127119910258,0.11363597292852261,-9.673985126897247,3.8893121719261076e-22,1.3784022339346936e-21
PBANKA_0942600,2231.0153840753387,-1.2900805246213496,0.11990177648648746,-10.759477986272685,5.347220057524899e-27,2.2389580484965932e-26
PBANKA_0942800,1786.4749431599387,-1.055155415019688,0.1336537535499457,-7.894693467216257,2.9102962323673813e-15,7.878161184514754e-15
PBANKA_0942900,5666.017465660997,-1.0520351051444883,0.11650158279845568,-9.030221563293935,1.7132456332014393e-19,5.555363597009835e-19
PBANKA_0943100,22630.879092460556,-1.0442738259756386,0.13102442894437633,-7.970069660971109,1.5858495144025144e-15,4.34315146413802e-15
PBANKA_0943200,3644.2983281862666,-1.3379049902405378,0.11497736248868289,-11.636247007946686,2.696205955357926e-31,1.3064666521913265e-30
PBANKA_0943300,2892.7768789933193,-1.9558215540283128,0.13910611219938177,-14.059925355580495,6.695680007987205e-45,4.687886982462878e-44
PBANKA_0943600,34520.335906500455,-1.1100602767079695,0.16472976884321716,-6.738674402951892,1.598381246431493e-11,3.6218713756655496e-11
PBANKA_0944000,489.2023799478149,-1.3536129934462553,0.23171456552060554,-5.8417259631694725,5.166274142847632e-09,1.036320847053634e-08
PBANKA_0944061,130.13857387651385,-1.0809487795082753,0.3308457281324684,-3.2672290665801516,0.0010860576514608027,0.0015769900322847885
PBANKA_0944101,447.77495854411444,-1.094653831089445,0.18707030268278838,-5.851563906140832,4.869720997632283e-09,9.808056459419072e-09
PBANKA_1000300,5553.530460926521,-1.2629062735571561,0.12270417658879545,-10.29228432695808,7.634336865435639e-25,2.9672430143150902e-24
PBANKA_1000400,915.323133386466,-2.6684021460532765,0.16009859767343382,-16.66724246702169,2.2681975944666464e-62,2.4887302390459197e-61
PBANKA_1000700,4507.459545135406,-1.6795917003140706,0.1293318940702276,-12.986678285265404,1.4561089458865337e-38,8.602912325524802e-38
PBANKA_1000800,3434.5980916769818,-1.8843504725270626,0.19477644605806493,-9.674426814242814,3.872555477340391e-22,1.3734094063675846e-21
PBANKA_1001900,1595.8356300385374,-1.3694390980254867,0.16534455798693576,-8.28233547386355,1.2078276483177532e-16,3.4703970286114784e-16
PBANKA_1002000,13132.488754074066,-1.138502615136363,0.11283481680946975,-10.089993916140372,6.117330978138032e-24,2.3028372504387938e-23
PBANKA_1003000,1333.2009259247336,-1.422128864604855,0.13067755298215739,-10.882732589881227,1.3932263524137028e-27,5.954769775349597e-27
