gene,ERR022872,ERR022873,ERR022874,ERR022875,ERR022876,ERR022877,ERR022878,ERR022879,ERR022880,ERR022881,ERR022882,ERR022883
gene:Smp_171540,14739,4429,4092,7659,14092,25962,18865,16000,14850,14787,11905,14771
gene:Smp_171550,58,241,39,44,185,433,367,365,326,284,331,472
gene:Smp_171580,26,32,17,24,49,104,58,328,342,293,349,301
gene:Smp_171600,981,1030,339,797,1517,2657,1819,7381,11453,10846,10742,12029
gene:Smp_171610,1942,135,581,1308,2382,1436,1093,4993,1978,2103,2053,2080
gene:Smp_171620,2424,1972,702,1472,2077,2605,1830,3036,3474,2680,2349,2532
gene:Smp_171630,676,476,274,272,1095,869,618,2423,2335,2140,1615,1923
gene:Smp_171640,4829,1456,1735,2109,5929,5993,4158,14758,5693,4770,4195,4738
gene:Smp_171660,560,1003,268,477,1008,1059,823,1648,962,952,637,735
gene:Smp_171670,2091,1241,928,1529,3401,4590,3041,7935,5974,5366,4807,5744
gene:Smp_171680,112,91,20,95,168,275,235,486,1364,1050,893,1067
gene:Smp_171710,1096,615,433,627,1636,2427,1717,1962,3561,3231,2420,3130
gene:Smp_171720,3355,1215,1101,790,4191,4789,3595,6854,3663,4368,4392,4668
gene:Smp_171730,18,4,5,19,51,121,54,27,89,54,88,76
gene:Smp_171740,668,116,177,981,819,1938,1146,2747,2441,2014,1945,2288
gene:Smp_171750,2004,594,757,4911,3172,8314,5267,7338,4201,4159,3792,4303
gene:Smp_171770,659,849,283,429,962,1527,985,2374,2760,2316,2263,2389
gene:Smp_171780,700,1259,98,1716,536,568,469,753,1274,1425,1190,1460
gene:Smp_171790,3725,1238,1950,2786,7324,10521,6884,11056,9757,8075,5998,7209
gene:Smp_171820,8764,4185,2337,6931,8213,14168,10172,11357,13882,12021,9928,11760
gene:Smp_171860,866,2081,504,424,1881,1206,884,4855,3437,3073,2548,3336
gene:Smp_171870,1019,1566,254,504,820,1457,848,1668,3349,2892,2291,2475
gene:Smp_171880,1439,1984,552,1165,2157,2945,2187,4973,6575,5742,4551,5785
gene:Smp_171940,836,784,365,435,1376,1955,1285,2807,1730,1477,1623,1807
gene:Smp_172030,1581,1784,607,1072,2124,1945,1400,3124,3532,3189,2748,3186
gene:Smp_172040,1034,268,529,664,1742,2105,1622,4539,7145,5952,5022,5702
gene:Smp_172050,257,625,254,146,1000,606,436,3602,3593,3104,2661,3049
gene:Smp_172060,647,394,264,362,1088,1305,1049,2052,2977,2415,2028,2387
gene:Smp_172070,2572,1898,1291,1866,4588,5358,3692,11614,9957,7704,7368,8601
gene:Smp_172090,487,276,268,325,1060,687,605,1556,1707,1463,1311,1486
gene:Smp_172110,1962,7356,689,1103,2292,3782,2258,4302,6536,6999,6347,7655
gene:Smp_172120,72,146,35,32,142,189,133,616,984,696,591,792
gene:Smp_172130,966,437,630,737,2395,1646,1089,7094,3773,3834,3507,3616
gene:Smp_172140,76,30,4,57,21,231,131,23,492,276,223,260
gene:Smp_172150,5,18,137,195,578,2522,1920,3336,1816,2788,1833,2071
gene:Smp_172160,1734,764,608,1037,2157,3957,3197,1902,2140,1917,1880,1937
gene:Smp_172170,1,0,0,0,3,12,4,0,0,0,0,0
gene:Smp_172180,1284,630,2316,564,8656,4256,4670,6384,7435,3903,4758,4476
gene:Smp_172190,2101,1783,740,1400,2675,3991,4134,3853,3226,2885,2379,2886
gene:Smp_172200,147,160,96,196,386,497,220,982,1111,1170,1244,1258
gene:Smp_172210,42,23,14,30,78,167,105,80,299,253,253,329
gene:Smp_172220,1098,739,272,793,1070,2441,1872,2772,3936,3788,4184,4446
gene:Smp_172240,456,661,203,216,920,849,583,2764,1978,1675,1664,1965
gene:Smp_172250,97,586,52,25,448,705,355,3046,3410,3484,2724,3096
gene:Smp_172270,2058,1861,1002,1836,3677,5043,3337,8482,5701,5445,4565,5184
gene:Smp_172280,6474,3949,1878,4353,6501,6447,4754,10702,7588,9122,6035,6851
gene:Smp_172340,44,259,56,18,161,116,71,266,5,14,20,20
gene:Smp_172360,48,42,8,34,26,36,43,22,67,119,125,130
gene:Smp_172370,27,26,24,14,52,87,30,57,64,53,59,87
gene:Smp_172400,1232,1021,448,994,1724,2347,1577,4701,5924,4651,4207,5001
gene:Smp_172420,4450,3803,2652,3928,9582,10030,6786,19190,17173,13988,13170,14621
gene:Smp_172440,0,22,0,0,0,2,0,11,0,0,1,0
gene:Smp_172460,2363,550,1982,1794,10561,8046,6529,34293,4602,3736,3834,4089
gene:Smp_172470,10,22,15,8,53,26,15,240,234,128,180,201
gene:Smp_172480,7,68,9,4,39,8,4,107,97,128,59,68
gene:Smp_172490,196,324,132,154,456,802,285,1703,1690,1440,1431,1459
gene:Smp_172510,701,280,223,356,1075,1933,1167,2128,2888,2994,3011,3171
